01;Mabouille la petite citrouille n'est pas bien réveillée ce matin. Elle est fatiguée et n’as pas encore mangée. Tandis qu'elle s'approche d'une flaque d'eau pour se débarbouiller, elle croise Patou le toutou vadrouillant à la fraîche.;Les bonnes réponses étaient;4;Se nourrir;Marre;Se laver;Chien
02;Ici, il y a un pays, des vieux grands-pères, des pauvres gens ! » pensait Jean Valjean. Tout à coup, ses yeux tombèrent sur les deux flambeaux d’argent. Il se pencha sur le foyer. Il remua le brasier avec un des précieux et beaux chandeliers. Ses cheveux se dressèrent. La sueur lui coulait du front. Ses yeux étaient comme fous.;Les bonnes réponses étaient;3;Papi;Feu;Se baissa;Feu;Dingue
03;Son corps pâle danse à la lueur des lampes, se meut et s'étire avec une grâce irréelle. Elle s'élance et saute, pareille à une ballerine envoûtante, ses pieds frappent le sol et dessinent dans l'air moite des arcs parfaits, des cercles précis.;Lampe est un synonyme de lumière. Sauter est un synonyme de bondir. Frapper est un synonyme de taper. Cercle est un synonyme de  rond;4;Lumière;Bondir;Tape;Rond
04;Replacer les mots pour créer une phrase correct;Correction de la phrase;3;Ils;Sont;Fort
05;Replacer les mots pour créer une phrase correct;Correction de la phrase;3;Ils;Sont;Fort
06;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Il;Est;Très;Fort
07;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Je;Suis;En train;De jouer;
08;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;La maison;Est;Très;Grande
09;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Mon portable;Est en train;De;sonner
10;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Je;Fais;La;Cuisine
11;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Quel;Est;Ton;Age ?